Sample Name,Location,Site,Species,Date Collected,Sample Type,Latitude,Longitude,Tissue N (% dry mass),C:N,Tissue ?15N (‰)
MB3UFC,Maalaea Bay,MB3,Ulva spp.,7/29/2012,Shore-collected,20.77994278,-156.52161248,1.1,21.6,4.2
MB6UFA,Maalaea Bay,MB6,Ulva spp.,7/29/2012,Shore-collected,20.78275357,-156.51787138,1.5,15.7,5.3
MB6UFB,Maalaea Bay,MB6,Ulva spp.,7/29/2012,Shore-collected,20.78275357,-156.51787138,1.3,16.2,5.4
MB6UFC,Maalaea Bay,MB6,Ulva spp.,7/29/2012,Shore-collected,20.78275357,-156.51787138,1.3,16.7,5.4
MB8UFA,Maalaea Bay,MB8,Ulva spp.,7/29/2012,Shore-collected,20.78542488,-156.51620037,4.1,7.9,4.1
MB8UFB,Maalaea Bay,MB8,Ulva spp.,7/29/2012,Shore-collected,20.78542488,-156.51620037,1.8,13.7,4.7
MB8UFC,Maalaea Bay,MB8,Ulva spp.,7/29/2012,Shore-collected,20.78542488,-156.51620037,1.0,23.9,4.6
MB10UFA,Maalaea Bay,MB10,Ulva spp.,7/29/2012,Shore-collected,20.78896053,-156.51479162,1.4,18.8,4.7
MB10UFB,Maalaea Bay,MB10,Ulva spp.,7/29/2012,Shore-collected,20.78896053,-156.51479162,1.3,19.6,4.8
MB10UFC,Maalaea Bay,MB10,Ulva spp.,7/29/2012,Shore-collected,20.78896053,-156.51479162,1.3,19.0,4.8
MB12UFA,Maalaea Bay,MB12,Ulva spp.,7/29/2012,Shore-collected,20.78648033,-156.51555186,2.2,12.9,4.5
MB12UFB,Maalaea Bay,MB12,Ulva spp.,7/29/2012,Shore-collected,20.78648033,-156.51555186,2.5,12.7,4.4
MB12UFC,Maalaea Bay,MB12,Ulva spp.,7/29/2012,Shore-collected,20.78648033,-156.51555186,2.3,13.1,4.1
MB14UFA,Maalaea Bay,MB14,Ulva spp.,7/29/2012,Shore-collected,20.79080036,-156.51361036,4.7,6.8,4.1
MB14UFB,Maalaea Bay,MB14,Ulva spp.,7/29/2012,Shore-collected,20.79080036,-156.51361036,4.2,7.4,4
MB14UFC,Maalaea Bay,MB14,Ulva spp.,7/29/2012,Shore-collected,20.79080036,-156.51361036,4.2,7.3,4
MB21UFA,Maalaea Bay,MB21,Ulva spp.,7/31/2012,Shore-collected,20.79225362,-156.50957062,4.0,8.3,3.5
MB21UFB,Maalaea Bay,MB21,Ulva spp.,7/31/2012,Shore-collected,20.79225362,-156.50957062,4.2,7.9,3.5
MB21UFC,Maalaea Bay,MB21,Ulva spp.,7/31/2012,Shore-collected,20.79225362,-156.50957062,4.3,8.0,3.5
MB23UFA,Maalaea Bay,MB23,Ulva spp.,7/31/2012,Shore-collected,20.79272200,-156.50890844,3.9,7.7,3.3
MB23UFB,Maalaea Bay,MB23,Ulva spp.,7/31/2012,Shore-collected,20.79272200,-156.50890844,3.6,8.3,3.2
MB23UFC,Maalaea Bay,MB23,Ulva spp.,7/31/2012,Shore-collected,20.79272200,-156.50890844,4.0,8.0,3.2
MB25UFA,Maalaea Bay,MB25,Ulva spp.,7/31/2012,Shore-collected,20.79336656,-156.50846001,2.8,7.8,4.0
MB25UFB,Maalaea Bay,MB25,Ulva spp.,7/31/2012,Shore-collected,20.79336656,-156.50846001,4.1,7.9,3.7
MB25UFC,Maalaea Bay,MB25,Ulva spp.,7/31/2012,Shore-collected,20.79336656,-156.50846001,4.3,7.9,3.6
MB27UFA,Maalaea Bay,MB27,Ulva spp.,7/31/2012,Shore-collected,20.79477221,-156.50692864,3.6,8.6,3.9
MB27UFB,Maalaea Bay,MB27,Ulva spp.,7/31/2012,Shore-collected,20.79477221,-156.50692864,3.7,8.9,3.8
MB27UFC,Maalaea Bay,MB27,Ulva spp.,7/31/2012,Shore-collected,20.79477221,-156.50692864,3.7,8.9,4.0
MB29UFA,Maalaea Bay,MB29,Ulva spp.,7/31/2012,Shore-collected,20.79593570,-156.50454005,3.4,8.2,5.3
MB29UFB,Maalaea Bay,MB29,Ulva spp.,7/31/2012,Shore-collected,20.79593570,-156.50454005,3.5,7.9,5.1
MB29UFC,Maalaea Bay,MB29,Ulva spp.,7/31/2012,Shore-collected,20.79593570,-156.50454005,3.5,8.3,5.4
Kw01A1,Kahului Bay,Kw01,Acanthophora spicifera,7/20/2013,Shore-collected,20.90106689,-156.44068083,3.0,8.4,3.4
Kw01H1,Kahului Bay,Kw01,Hypnea musciformis,7/20/2013,Shore-collected,20.90106689,-156.44068083,3.3,9.0,5
Kw01U1,Kahului Bay,Kw01,Ulva spp.,7/20/2013,Shore-collected,20.90106689,-156.44068083,3.4,8.2,5.6
Kw02H1,Kahului Bay,Kw02,Hypnea musciformis,7/20/2013,Shore-collected,20.89974155,-156.44287203,3.1,9.2,6.7
Kw02U1,Kahului Bay,Kw02,Ulva spp.,7/20/2013,Shore-collected,20.89974155,-156.44287203,3.4,8.7,7.4
Kw03A1,Kahului Bay,Kw03,Acanthophora spicifera,7/20/2013,Shore-collected,20.89777750,-156.44761794,3.2,9.1,6.2
Kw03H1,Kahului Bay,Kw03,Hypnea musciformis,7/20/2013,Shore-collected,20.89777750,-156.44761794,3.4,8.3,7.5
Kw03U1,Kahului Bay,Kw03,Ulva spp.,7/20/2013,Shore-collected,20.89777750,-156.44761794,1.5,13.0,6.9
Kw04H1,Kahului Bay,Kw04,Hypnea musciformis,7/20/2013,Shore-collected,20.89705423,-156.44880147,3.5,9.3,6.3
Kw04U1,Kahului Bay,Kw04,Ulva spp.,7/20/2013,Shore-collected,20.89705423,-156.44880147,2.2,10.2,6.9
Kw05H1,Kahului Bay,Kw05,Hypnea musciformis,7/23/2013,Shore-collected,20.89928716,-156.44533345,5.1,6.4,4.8
Kw05U1,Kahului Bay,Kw05,Ulva spp.,7/23/2013,Shore-collected,20.89928716,-156.44533345,4.6,7.0,5.9
Kw06U1,Kahului Bay,Kw06,Ulva spp.,7/23/2013,Shore-collected,20.89921600,-156.44642520,2.8,9.0,6.9
Kw07A1,Kahului Bay,Kw07,Acanthophora spicifera,7/23/2013,Shore-collected,20.89889632,-156.44714210,3.6,7.6,5
Kw07H1,Kahului Bay,Kw07,Hypnea musciformis,7/23/2013,Shore-collected,20.89889632,-156.44714210,3.5,7.7,6.2
Kw07U1,Kahului Bay,Kw07,Ulva spp.,7/23/2013,Shore-collected,20.89889632,-156.44714210,2.3,10.1,5.5
Kw08A1,Kahului Bay,Kw08,Acanthophora spicifera,7/23/2013,Shore-collected,20.89848233,-156.44747176,3.1,7.5,5.9
Kw08H1,Kahului Bay,Kw08,Hypnea musciformis,7/23/2013,Shore-collected,20.89848233,-156.44747176,3.4,8.0,6.5
Kw08U1,Kahului Bay,Kw08,Ulva spp.,7/23/2013,Shore-collected,20.89848233,-156.44747176,2.1,10.5,6.2
Kw09A2,Kahului Bay,Kw09,Acanthophora spicifera,7/23/2013,Shore-collected,20.89691970,-156.44986077,3.1,7.3,6.7
Kw10A1,Kahului Bay,Kw10,Acanthophora spicifera,7/23/2013,Shore-collected,20.89671652,-156.45216630,3.1,8.4,8.1
